TimeStep,L_OS,L_NA,L_DA,L_MILP,L_GDA,L_FF,L_GD,L_MILPO,L_MI,XLAT,XLONG,
136,1,1,1,1,1,1,1,1,0,6.82,91.03,
137,1,0,0,0,0,0,0,0,0,,,
138,1,0,0,0,0,1,0,0,0,,,
139,1,1,1,1,1,0,1,1,0,,,
140,1,0,0,0,0,1,0,0,0,,,
141,1,0,0,0,0,0,0,0,0,,,
142,,0,0,0,0,0,0,0,0,,,
143,1,0,0,0,0,0,0,0,0,,,
144,,0,0,0,0,0,0,0,0,,,
145,1,1,1,1,1,0,1,1,0,,,
146,1,0,0,0,0,1,0,0,0,,,
147,,0,0,0,0,0,0,0,0,,,
148,1,0,0,0,0,1,0,0,0,,,27
149,1,1,1,1,1,0,1,1,0,7.33,90.01,
150,1,0,0,0,0,1,0,0,0,,,
151,1,1,1,1,1,0,1,1,0,,,
152,,0,0,0,0,0,0,0,0,,,
153,,0,0,0,0,0,0,0,0,,,
154,1,0,0,0,0,1,0,0,0,,,
155,,0,0,0,0,0,0,0,0,,,
156,,0,0,0,0,0,0,0,0,,,
157,,0,0,0,0,0,0,0,0,,,
158,,0,0,0,0,0,0,0,0,,,
159,,0,0,0,0,0,0,0,0,,,
160,,0,0,0,0,0,0,0,0,,,
161,,0,0,0,0,0,0,0,0,,,
162,,0,0,0,0,0,0,0,0,,,
163,,0,0,0,0,0,0,0,0,,,
164,,0,0,0,0,0,0,0,0,,,
165,,0,0,0,0,0,0,0,0,,,
166,,0,0,0,0,0,0,0,0,,,
167,,0,0,0,0,0,0,0,0,,,
168,,0,0,0,0,0,0,0,0,,,
169,,0,0,0,0,0,0,0,0,,,
170,,0,0,0,0,0,0,0,0,,,
171,,0,0,0,0,0,0,0,0,,,
172,,0,0,0,0,0,0,0,0,,,
173,,0,0,0,0,0,0,0,0,,,
174,,0,0,0,0,0,0,0,0,,,
175,,0,0,0,0,0,0,0,0,,,
176,,0,0,0,0,0,0,0,0,,,
177,1,1,1,1,1,0,1,1,0,9.12,89.04,
178,1,0,0,0,0,1,0,0,0,,,
179,1,0,0,0,0,0,0,0,0,,,
